iter	MultiClass
0	0.7847537475
1	0.3792825664
2	0.321493582
3	0.292311104
4	0.2598121292
5	0.2456511748
6	0.2300772369
7	0.2212747681
8	0.2115914797
9	0.2090381089
10	0.2052046134
11	0.2012943364
12	0.1960872651
13	0.1943446156
14	0.1911207829
15	0.1877864276
16	0.1854087511
17	0.1834223646
18	0.1809425832
19	0.1761856746
20	0.1745083695
21	0.1729277413
22	0.1695228353
23	0.1671958232
24	0.1659432041
25	0.1641341901
26	0.1634691005
27	0.1591202357
28	0.1569713298
29	0.1560252365
30	0.1543452894
31	0.1530411294
32	0.1529060436
33	0.1519053749
34	0.1509199064
35	0.1494460087
36	0.1468765324
37	0.1458704
38	0.1451305776
39	0.1442445058
40	0.1420464563
41	0.1396942734
42	0.1389117181
43	0.1385680622
44	0.1366538793
45	0.1357344232
46	0.135337888
47	0.1345802594
48	0.1342227569
49	0.1337878147
