iter	Passed	Remaining
0	951	46634
1	1816	43598
2	2589	40570
3	3374	38811
4	4105	36953
5	4879	35782
6	5609	34461
7	6380	33495
8	7134	32500
9	7881	31527
10	8633	30610
11	9397	29758
12	10232	29122
13	10991	28262
14	11787	27503
15	12570	26713
16	13340	25896
17	14078	25029
18	14883	24283
19	15675	23513
20	16424	22681
21	17202	21894
22	17948	21069
23	18718	20278
24	19501	19501
25	20280	18720
26	21053	17934
27	21830	17152
28	22631	16388
29	23380	15586
30	24177	14818
31	24973	14047
32	25719	13249
33	26488	12464
34	27226	11668
35	28048	10907
36	28790	10115
37	29572	9338
38	30340	8557
39	31111	7777
40	31834	6988
41	32571	6204
42	33323	5424
43	34084	4647
44	34851	3872
45	35582	3094
46	36313	2317
47	37080	1545
48	37836	772
49	38573	0
